I (52553) vango_firmware: 270,244
I (52563) vango_firmware: 265,248
I (52573) vango_firmware: 270,244
I (52583) vango_firmware: 270,244
I (52593) vango_firmware: 270,244
I (52603) vango_firmware: 270,244
I (52613) vango_firmware: 270,244
I (52623) vango_firmware: 270,244
I (52633) vango_firmware: 270,244
I (52643) vango_firmware: 265,244
I (52653) vango_firmware: 270,244
I (52663) vango_firmware: 270,244
I (52673) vango_firmware: 270,244
I (52683) vango_firmware: 270,244
I (52693) vango_firmware: 270,244
I (52703) vango_firmware: 265,244
I (52713) vango_firmware: 270,244
I (52723) vango_firmware: 270,244
I (52733) vango_firmware: 270,244
I (52743) vango_firmware: 270,244
I (52753) vango_firmware: 270,240
I (52763) vango_firmware: 265,244
I (52773) vango_firmware: 270,244
I (52783) vango_firmware: 270,244
I (52793) vango_firmware: 270,244
I (52803) vango_firmware: 270,240
I (52813) vango_firmware: 270,244
I (52823) vango_firmware: 270,244
I (52833) vango_firmware: 270,244
I (52843) vango_firmware: 265,240
I (52853) vango_firmware: 270,244
I (52863) vango_firmware: 270,244
I (52873) vango_firmware: 270,244
I (52883) vango_firmware: 270,240
I (52893) vango_firmware: 270,244
I (52903) vango_firmware: 265,244
I (52913) vango_firmware: 270,240
I (52923) vango_firmware: 270,244
I (52933) vango_firmware: 270,240
I (52943) vango_firmware: 270,244
I (52953) vango_firmware: 270,240
I (52963) vango_firmware: 265,240
I (52973) vango_firmware: 270,244
I (52983) vango_firmware: 270,240
I (52993) vango_firmware: 270,240
I (53003) vango_firmware: 270,240
I (53013) vango_firmware: 270,244
I (53023) vango_firmware: 265,240
I (53033) vango_firmware: 270,235
I (53043) vango_firmware: 270,240
I (53053) vango_firmware: 265,240
I (53063) vango_firmware: 270,240
I (53073) vango_firmware: 270,240
I (53083) vango_firmware: 270,235
I (53093) vango_firmware: 270,240
I (53103) vango_firmware: 270,240
I (53113) vango_firmware: 265,235
I (53123) vango_firmware: 270,240
I (53133) vango_firmware: 270,235
I (53143) vango_firmware: 270,240
I (53153) vango_firmware: 270,235
I (53163) vango_firmware: 265,240
I (53173) vango_firmware: 270,235
I (53183) vango_firmware: 270,235
I (53193) vango_firmware: 270,235
I (53203) vango_firmware: 270,235
I (53213) vango_firmware: 270,235
I (53223) vango_firmware: 270,235
I (53233) vango_firmware: 265,235
I (53243) vango_firmware: 270,235
I (53253) vango_firmware: 270,235
I (53263) vango_firmware: 270,231
I (53273) vango_firmware: 270,235
I (53283) vango_firmware: 270,235
I (53293) vango_firmware: 270,231
I (53303) vango_firmware: 265,235
I (53313) vango_firmware: 270,235
I (53323) vango_firmware: 270,231
I (53333) vango_firmware: 270,235
I (53343) vango_firmware: 270,231
I (53353) vango_firmware: 270,235
I (53363) vango_firmware: 270,231
I (53373) vango_firmware: 270,235
I (53383) vango_firmware: 270,231
I (53393) vango_firmware: 265,231
I (53403) vango_firmware: 270,235
I (53413) vango_firmware: 270,231
I (53423) vango_firmware: 270,231
I (53433) vango_firmware: 270,231
I (53443) vango_firmware: 265,231
I (53453) vango_firmware: 270,235
I (53463) vango_firmware: 270,231
I (53473) vango_firmware: 270,231
I (53483) vango_firmware: 270,231
I (53493) vango_firmware: 270,231
I (53503) vango_firmware: 265,231
I (53513) vango_firmware: 270,235
I (53523) vango_firmware: 274,231
I (53533) vango_firmware: 270,231
I (53543) vango_firmware: 265,227
I (53553) vango_firmware: 270,231
I (53563) vango_firmware: 270,235
I (53573) vango_firmware: 270,227
I (53583) vango_firmware: 270,231
I (53593) vango_firmware: 270,227
I (53603) vango_firmware: 265,231
I (53613) vango_firmware: 270,231
I (53623) vango_firmware: 270,227
I (53633) vango_firmware: 265,227
I (53643) vango_firmware: 274,231
I (53653) vango_firmware: 270,231
I (53663) vango_firmware: 265,227
I (53673) vango_firmware: 270,227
I (53683) vango_firmware: 270,231
I (53693) vango_firmware: 270,231
I (53703) vango_firmware: 265,227
I (53713) vango_firmware: 270,231
I (53723) vango_firmware: 270,231
I (53733) vango_firmware: 270,227
I (53743) vango_firmware: 270,231
I (53753) vango_firmware: 270,227
I (53763) vango_firmware: 270,231
I (53773) vango_firmware: 270,227
I (53783) vango_firmware: 270,231
I (53793) vango_firmware: 270,227
I (53803) vango_firmware: 270,227
I (53813) vango_firmware: 265,231
I (53823) vango_firmware: 270,227
I (53833) vango_firmware: 270,227
I (53843) vango_firmware: 158,227
I (53853) vango_firmware: 698,227
I (53863) vango_firmware: 261,231
I (53873) vango_firmware: 240,222
I (53883) vango_firmware: 248,227
I (53893) vango_firmware: 252,227
I (53903) vango_firmware: 252,222
I (53913) vango_firmware: 252,231
I (53923) vango_firmware: 261,227
I (53933) vango_firmware: 257,222
I (53943) vango_firmware: 261,227
I (53953) vango_firmware: 261,227
I (53963) vango_firmware: 265,222
I (53973) vango_firmware: 265,227
I (53983) vango_firmware: 265,227
I (53993) vango_firmware: 265,222
I (54003) vango_firmware: 270,227
I (54013) vango_firmware: 270,227
I (54023) vango_firmware: 265,222
I (54033) vango_firmware: 270,227
I (54043) vango_firmware: 270,227
I (54053) vango_firmware: 265,222
I (54063) vango_firmware: 270,227
I (54073) vango_firmware: 270,227
I (54083) vango_firmware: 265,222
I (54093) vango_firmware: 270,222
I (54103) vango_firmware: 270,227
I (54113) vango_firmware: 270,227
I (54123) vango_firmware: 270,222
I (54133) vango_firmware: 270,222
I (54143) vango_firmware: 265,222
I (54153) vango_firmware: 270,227
I (54163) vango_firmware: 270,222
I (54173) vango_firmware: 270,222
I (54183) vango_firmware: 270,222
I (54193) vango_firmware: 270,227
I (54203) vango_firmware: 270,218
I (54213) vango_firmware: 270,227
I (54223) vango_firmware: 270,222
I (54233) vango_firmware: 270,222
I (54243) vango_firmware: 270,222
I (54253) vango_firmware: 270,222
I (54263) vango_firmware: 265,222
I (54273) vango_firmware: 270,222
I (54283) vango_firmware: 270,222
I (54293) vango_firmware: 270,222
I (54303) vango_firmware: 270,222
I (54313) vango_firmware: 270,222
