time(ms), left_angle(rad), right_angle(rad), theta(rad), x(m), y(m)
8365,72.11302,71.942474,-0.03726749,1.6196879,-0.053460043
8385,72.29254,72.11751,-0.038247462,1.6236739,-0.053609613
8405,72.48103,72.306,-0.038247462,1.6279118,-0.053771783
8425,72.64709,72.47655,-0.037265826,1.6316957,-0.053915624
8445,72.82212,72.65158,-0.037265826,1.6356312,-0.05406428
8465,73.00164,72.8311,-0.037265826,1.6396676,-0.054214768
8485,73.18116,73.01062,-0.037265826,1.643704,-0.05436526
8505,73.35619,73.185646,-0.037265826,1.6476395,-0.054511983
8525,73.53571,73.365166,-0.037265826,1.6516759,-0.05466247
8545,73.70625,73.5402,-0.03628419,1.655561,-0.054806408
8565,73.88577,73.724205,-0.03530422,1.659648,-0.054953758
8585,74.06529,73.89924,-0.03628419,1.6636342,-0.055095505
8605,74.240326,74.07876,-0.03530422,1.6676203,-0.055237267
8625,74.419846,74.25828,-0.03530422,1.6716568,-0.055381816
8645,74.59488,74.42882,-0.03628419,1.6755421,-0.055521876
8665,74.778885,74.61283,-0.036282524,1.6796796,-0.055670038
8685,74.95392,74.78786,-0.036282524,1.6836152,-0.055812895
8705,75.128944,74.96738,-0.035300888,1.6876012,-0.055956624
8725,75.308464,75.15139,-0.03431925,1.6916884,-0.05610001
8745,75.4835,75.326416,-0.034320917,1.6956242,-0.05623707
8765,75.66302,75.505936,-0.034320917,1.6996611,-0.056375675
8785,75.84254,75.685455,-0.034320917,1.7036979,-0.056516256
8805,76.02206,75.86049,-0.035300888,1.7076843,-0.056656063
8825,76.20158,76.044495,-0.034320917,1.7117715,-0.05679742
8845,76.37212,76.21504,-0.034320917,1.7156065,-0.056929093
8865,76.55164,76.39905,-0.033340946,1.7196938,-0.057068422
8885,76.73116,76.57408,-0.034320917,1.7236803,-0.05720432
8905,76.90619,76.749115,-0.034320917,1.7276162,-0.057339456
8925,77.08571,76.928635,-0.034320917,1.7316531,-0.05747806
8945,77.26074,77.099174,-0.035302553,1.7355385,-0.0576143
8965,77.44026,77.278694,-0.035302553,1.7395751,-0.057756867
8985,77.61978,77.45373,-0.036282524,1.7435613,-0.057900585
9005,77.794815,77.62427,-0.03726416,1.7474464,-0.058042567
9025,77.97882,77.80379,-0.038244132,1.7515332,-0.05819791
9045,78.153854,77.974335,-0.039224103,1.7554181,-0.058347516
9065,78.333374,78.153854,-0.039224103,1.7594543,-0.058505908
9085,78.51289,78.32889,-0.040204074,1.76344,-0.05866328
9105,78.68793,78.503914,-0.040204074,1.767375,-0.058821566
9125,78.86745,78.68343,-0.040204074,1.7714108,-0.058985893
9145,79.04247,78.85398,-0.041184045,1.7752954,-0.059144985
9165,79.22649,79.0335,-0.04216568,1.7793816,-0.059314378
9185,79.40151,79.208534,-0.04216568,1.7833164,-0.059480384
9205,79.576546,79.388054,-0.04118571,1.7873017,-0.059647564
9225,79.756065,79.56308,-0.04216568,1.791287,-0.05981275
9245,79.9311,79.73811,-0.04216568,1.7952218,-0.05997876
9265,80.11062,79.91763,-0.04216568,1.7992575,-0.06014903
9285,80.285645,80.09267,-0.04216568,1.8031923,-0.060315035
9305,80.46068,80.27219,-0.04118571,1.8071775,-0.060482215
9325,80.644684,80.45619,-0.04118571,1.8113141,-0.06065268
9345,80.81972,80.62673,-0.04216568,1.8151984,-0.060815588
9365,80.99924,80.810745,-0.041184045,1.8192846,-0.060985
9385,81.17427,80.990265,-0.040204074,1.8232698,-0.061148267
9405,81.35379,81.16529,-0.04118571,1.8272551,-0.061311524
9425,81.53331,81.349304,-0.040204074,1.8313415,-0.06147693
9445,81.70834,81.52433,-0.040204074,1.8352765,-0.06163522
9465,81.88786,81.70834,-0.039222438,1.8393631,-0.06179661
9485,82.06738,81.88337,-0.040204074,1.8433487,-0.06195397
9505,82.24241,82.06289,-0.039222438,1.8473343,-0.062111348
9525,82.42642,82.2469,-0.039222438,1.8514714,-0.062271666
9545,82.59696,82.42193,-0.0382408,1.8553561,-0.06242127
9565,82.78097,82.60594,-0.0382408,1.8594933,-0.06257956
9585,82.96947,82.79892,-0.03726083,1.8637818,-0.06274039
9605,83.131035,82.96498,-0.036279194,1.8674651,-0.062874906
9625,83.310555,83.1445,-0.036279194,1.8715016,-0.063021414
9645,83.48559,83.31953,-0.03628086,1.8754371,-0.06316232
9665,83.66511,83.49905,-0.03628086,1.8794736,-0.06330883
9685,83.84013,83.67408,-0.03628086,1.8834091,-0.06345168
9705,84.01965,83.8536,-0.03628086,1.8874456,-0.063598186
9725,84.19917,84.03312,-0.03628086,1.891482,-0.063744694
9745,84.37421,84.20367,-0.03726083,1.8953671,-0.06388856
9765,84.55373,84.38319,-0.03726083,1.8994036,-0.06403903
9785,84.733246,84.562706,-0.03726083,1.90344,-0.06418753
9805,84.90828,84.742226,-0.03628086,1.907426,-0.06433317
9825,85.0878,84.92174,-0.036282524,1.9114624,-0.06448166
9845,85.26732,85.09677,-0.037262496,1.9154484,-0.06462731
9865,85.44684,85.28078,-0.036282524,1.9195353,-0.06477866
9885,85.62636,85.45581,-0.037262496,1.9235213,-0.064924315
9905,85.801384,85.63533,-0.03628086,1.9275072,-0.065069966
9925,85.9809,85.819336,-0.035300888,1.9315943,-0.06521533
9945,86.15145,85.99437,-0.034320917,1.9354796,-0.065349706
9965,86.33546,86.17389,-0.035300888,1.939567,-0.06549104
9985,86.51049,86.35341,-0.034320917,1.9435532,-0.06563086
10005,86.685524,86.52844,-0.034320917,1.9474891,-0.065766
